dataset,method,modality,split_unit,training_mode,deployment_type,seed_count,ci_mode,source_paths,protocol_caveat
GSE164378 exact-L3,RNA logistic,RNA,cell,supervised logistic regression,single model or seed mean,3,seed_t_ci,results/exp_generalization/mosaic_n_v22/baselines_key_seed41/predictions.csv;results/exp_generalization/mosaic_n_v22/baselines_seed42/predictions.csv;results/exp_generalization/mosaic_n_v22/baselines_key_seed43/predictions.csv,exact-L3 split; singleton ASDC_pDC excluded by prespecified support rule
COMBAT/COVID shift,RNA logistic,RNA,holdout seed and external cell,supervised logistic regression,single model or seed mean,3,seed_t_ci,results/tables/mosaic_n_v20_combat_seed_level_metrics_2026-05-25.csv,parent-safe disease-shift protocol; holdout seed sets must be reported
PBMC strict L3,CellTypist,RNA,cell,supervised CellTypist classifier,single model or seed mean,15000,cell_bootstrap_ci,results/exp_generalization/original_mosaic_strict/celltypist_strict_full_sgd_g3000/test_predictions.csv,fixed strict cell split with train-only preprocessing
COVID-19 full,CellTypist,RNA,cell,supervised CellTypist classifier,single model or seed mean,97105,cell_bootstrap_ci,results/exp_generalization/mosaic_n_v21_full/covid_51class_full_celltypist_seed42/predictions.csv,full 647366-cell closed-set split; patients overlap across splits
GSE164378 exact-L3,CellTypist,RNA,cell,supervised CellTypist classifier,single model or seed mean,7372,cell_bootstrap_ci,results/exp_baseline_matrix/v25_gse164378_exact_l3_celltypist_seed42/test_predictions.csv,exact-L3 split; singleton ASDC_pDC excluded by prespecified support rule
COMBAT/COVID shift,CellTypist,RNA,holdout seed and external cell,supervised CellTypist classifier,single model or seed mean,3,seed_t_ci,results/tables/mosaic_n_v10_r58_celltypist_3seed_by_seed_2026-05-20.csv,parent-safe disease-shift protocol; holdout seed sets must be reported
PBMC strict L3,scANVI,RNA,cell,semi-supervised variational model,single model or seed mean,15000,cell_bootstrap_ci,results/exp_generalization/original_mosaic_strict/v11_r42_scanvi_full_strict_g1000_e20_seed42/test_predictions.csv,fixed strict cell split with train-only preprocessing
COVID-19 full,scANVI,RNA,cell,semi-supervised variational model,single model or seed mean,97105,cell_bootstrap_ci,results/exp_baseline_matrix/v25_covid_full_51class_scanvi_seed42/test_predictions.csv,full 647366-cell closed-set split; patients overlap across splits
GSE164378 exact-L3,scANVI,RNA,cell,semi-supervised variational model,single model or seed mean,7372,cell_bootstrap_ci,results/exp_baseline_matrix/v25_gse164378_exact_l3_scanvi_seed42/test_predictions.csv,exact-L3 split; singleton ASDC_pDC excluded by prespecified support rule
COMBAT/COVID shift,scANVI,RNA,holdout seed and external cell,semi-supervised variational model,seed mean on aligned holdout seeds 44/45/46,3,seed_t_ci,results/exp_generalization/mosaic_n_v27_combat_parent_safe_sota_holdout_s44_s45_s46/aligned_predictions.csv,recomputed from the same aligned holdouts used by the consensus
PBMC strict L3,totalVI,RNA+ADT,cell,probabilistic multimodal reference/query model,single model or seed mean,15000,cell_bootstrap_ci,results/exp_generalization/original_mosaic_strict/v11_r44_totalvi_full_strict_g1000_e20_seed42/test_predictions.csv,fixed strict cell split with train-only preprocessing
COVID-19 full,totalVI,RNA+ADT,cell,probabilistic multimodal reference/query model,single model or seed mean,97105,cell_bootstrap_ci,results/exp_baseline_matrix/v25_covid_full_51class_totalvi_seed42/test_predictions.csv,full 647366-cell closed-set split; patients overlap across splits
GSE164378 exact-L3,totalVI,RNA+ADT,cell,probabilistic multimodal reference/query model,single model or seed mean,7372,cell_bootstrap_ci,results/exp_baseline_matrix/v25_gse164378_exact_l3_totalvi_seed42/test_predictions.csv,exact-L3 split; singleton ASDC_pDC excluded by prespecified support rule
COMBAT/COVID shift,totalVI,RNA+ADT,holdout seed and external cell,probabilistic multimodal reference/query model,single model or seed mean,3,seed_t_ci,results/exp_baseline_matrix/v25_combat_parent_safe_totalvi_s41_s42_s43/seed_level_metrics.csv,parent-safe disease-shift protocol; holdout seed sets must be reported
PBMC strict L3,scNym,RNA,cell,semi-supervised neural classifier,single model or seed mean,15000,cell_bootstrap_ci,results/exp_generalization/original_mosaic_strict/scnym_strict_medium_g3000_c20000_e10/test_predictions.csv,fixed strict cell split with train-only preprocessing
COVID-19 full,scNym,RNA,cell,semi-supervised neural classifier,single model or seed mean,97105,cell_bootstrap_ci,results/exp_baseline_matrix/v25_covid_full_51class_scnym_seed42/test_predictions.csv,full 647366-cell closed-set split; patients overlap across splits
GSE164378 exact-L3,scNym,RNA,cell,semi-supervised neural classifier,single model or seed mean,7372,cell_bootstrap_ci,results/exp_baseline_matrix/v25_gse164378_exact_l3_scnym_seed42/test_predictions.csv,exact-L3 split; singleton ASDC_pDC excluded by prespecified support rule
COMBAT/COVID shift,scNym,RNA,holdout seed and external cell,semi-supervised neural classifier,seed mean on aligned holdout seeds 44/45/46,3,seed_t_ci,results/exp_generalization/mosaic_n_v27_combat_parent_safe_sota_holdout_s44_s45_s46/aligned_predictions.csv,strongest aligned consensus component on the same holdouts
